keyword,category,url,headers,pagination
kurier,general,https://www.kleinanzeigen.de/s-jobs/seite:1/kurier/k0c102,"{'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36'}",1
kurier,general,https://www.kleinanzeigen.de/s-jobs/seite:2/kurier/k0c102,"{'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36'}",2
kurier,general,https://www.kleinanzeigen.de/s-jobs/seite:3/kurier/k0c102,"{'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36'}",3
kurier,general,https://www.kleinanzeigen.de/s-jobs/seite:4/kurier/k0c102,"{'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36'}",4
kurier,general,https://www.kleinanzeigen.de/s-jobs/seite:5/kurier/k0c102,"{'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36'}",5
kurier,general,https://www.kleinanzeigen.de/s-jobs/seite:6/kurier/k0c102,"{'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36'}",6
kurier,general,https://www.kleinanzeigen.de/s-jobs/seite:7/kurier/k0c102,"{'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36'}",7
kurier,general,https://www.kleinanzeigen.de/s-jobs/seite:8/kurier/k0c102,"{'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36'}",8
kurier,general,https://www.kleinanzeigen.de/s-jobs/seite:9/kurier/k0c102,"{'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36'}",9
kurier,general,https://www.kleinanzeigen.de/s-jobs/seite:10/kurier/k0c102,"{'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36'}",10
kurier,general,https://www.kleinanzeigen.de/s-jobs/seite:11/kurier/k0c102,"{'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36'}",11
kurier,general,https://www.kleinanzeigen.de/s-jobs/seite:12/kurier/k0c102,"{'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36'}",12
kurier,general,https://www.kleinanzeigen.de/s-jobs/seite:13/kurier/k0c102,"{'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36'}",13
kurier,general,https://www.kleinanzeigen.de/s-jobs/seite:14/kurier/k0c102,"{'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36'}",14
kurier,general,https://www.kleinanzeigen.de/s-jobs/seite:15/kurier/k0c102,"{'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36'}",15
kurier,general,https://www.kleinanzeigen.de/s-jobs/seite:16/kurier/k0c102,"{'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36'}",16
kurier,general,https://www.kleinanzeigen.de/s-jobs/seite:17/kurier/k0c102,"{'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36'}",17
kurier,general,https://www.kleinanzeigen.de/s-jobs/seite:18/kurier/k0c102,"{'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36'}",18
kurier,general,https://www.kleinanzeigen.de/s-jobs/seite:19/kurier/k0c102,"{'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36'}",19
kurier,general,https://www.kleinanzeigen.de/s-jobs/seite:20/kurier/k0c102,"{'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36'}",20
kurier,general,https://www.kleinanzeigen.de/s-jobs/seite:21/kurier/k0c102,"{'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36'}",21
kurier,general,https://www.kleinanzeigen.de/s-jobs/seite:22/kurier/k0c102,"{'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36'}",22
kurier,general,https://www.kleinanzeigen.de/s-jobs/seite:23/kurier/k0c102,"{'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36'}",23
kurier,general,https://www.kleinanzeigen.de/s-jobs/seite:24/kurier/k0c102,"{'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36'}",24
